16,13
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2
2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2
2,1,1,1,1,1,2,2,2,0,0,0,0,0,0,2
2,1,1,1,1,1,2,2,2,0,0,0,0,0,2,2
2,1,1,1,1,1,0,0,2,0,0,0,0,0,2,2
2,2,1,1,1,1,0,0,0,0,0,0,0,0,2,2
2,1,1,1,1,1,0,0,2,0,0,0,0,0,2,2
2,1,1,1,1,1,2,2,2,0,0,0,0,0,2,2
2,1,1,1,1,1,2,2,2,0,0,0,0,0,0,2
2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2
2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
13,6
34
1,3
3,3
5,3
2,4
4,4
1,5
3,5
5,5
2,6
4,6
1,7
3,7
5,7
2,8
4,8
1,9
3,9
5,9
10,2
10,4
10,6
10,8
10,10
11,3
11,5
11,7
11,9
12,2
12,4
12,6
12,8
12,10
13,5
13,7
